(5/8-0)+9/4=                                      2 7/8                    
(5/7-2/3-1)/5=                                    -4/21                    
1/10-(9/10*7+3)=                                  -9 1/5                   
4/5*(5/7*9)/7=                                    36/49                    
3/4*(1/10/5/4)=                                   3/800                    
(1/2*1/6)*10+2=                                   2 5/6                    
1/6-1/4+(7/2)=                                    3 5/12                   
(2/5-3/8)-10+1=                                   -8 39/40                 
(5/7*2/9)*9+2=                                    3 3/7                    
9/10-(0*3/8)=                                     9/10                     
1/8-0-(5+5)=                                      -9 7/8                   
1*1/(5/9)=                                        1 4/5                    
(4/5-2/7)+4+10=                                   14 18/35                 
(1/2+1/5)*7-9=                                    -4 1/10                  
2/5*(1/4-8)+8=                                    4 9/10                   
1-(9/10-6)/5=                                     2 1/50                   
(2/3+1/3)+3*2=                                    7                        
(4/5*5/9)-5/4=                                    -29/36                   
4/9+(3/4*3*6)=                                    13 17/18                 
(1/7+1/4+3)*3=                                    10 5/28                  
(1/3+1-7)+2=                                      -3 2/3                   
1/2-2/3*(5+6)=                                    -6 5/6                   
5/7+0+(8-9)=                                      -2/7                     
(4/5+7/10)-1+5=                                   5 1/2                    
2/3+(2/7/9*2)=                                    46/63                    
(1/5*1/4)/5*7=                                    7/100                    
(2/9+1/10*8)*3=                                   3 1/15                   
(7/10+1/6+6)/9=                                   103/135                  
2/7-6/7+(2+4)=                                    5 3/7                    
6/7*1*(3+4)=                                      6                        
